other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Stenotrophomonas,1.7906073133455153e-22,0.0008438873408124186,1.4107458909508456e-06,55.55555555555556
Age,1.5278430174103452e-14,1.4771412144468777e-10,2.082030853481382e-08,122.22222222222223
Cloacibacterium,9.928250250222301e-12,0.03866937626940439,2.1109740434913253e-05,28.888888888888886
Carnobacterium,3.059389939391605e-11,9.445459439828583e-09,0.00018696882032960394,53.333333333333336
Coprococcus,3.955102397980813e-11,7.017369804532456e-12,2.471750838431637e-10,317.77777777777777
Psychrobacter,1.0203690628330472e-10,0.00010476964420391818,7.581605364719932e-05,66.66666666666666
Vagococcus,1.3684579719769296e-10,0.000512294663661268,9.058983758743757e-06,102.22222222222221
Actinobacillus,1.8785149060028652e-10,2.2400835609760953e-07,7.581605364719932e-05,68.88888888888889
Dorea,2.2747223571819656e-09,1.6328660384376093e-07,3.148657053000118e-07,180.0
Succinivibrio,2.8682952713263203e-09,3.33148190738365e-06,2.9459948350731394e-06,68.88888888888889
Work_days_per_week,5.073326478796077e-09,2.6285068419407803e-08,1.1919633536594754e-08,137.77777777777777
Clostridium_XI,1.1874654940467952e-08,1.6510692138857642e-07,4.341978360847763e-07,160.0
Hemoglobine,2.1741214988383918e-08,4.827312767185459e-10,5.310439460473067e-10,300.0
Pseudobutyrivibrio,3.0915172044016716e-07,4.910071969957118e-08,1.4524991007289616e-05,122.22222222222223
Bread_type_preference.option,7.118409873641678e-07,5.8345251760916454e-05,1.8922488515947915e-05,128.88888888888889
Gender:M,9.114701771864605e-07,9.469442834667723e-10,7.268085284499188e-10,282.22222222222223
Marvinbryantia,9.224093835337502e-07,0.00045865446484433047,6.960828510899189e-05,15.555555555555555
unclassified_Thermomicrobiaceae,9.224093835337502e-07,0.00045865446484433047,6.960828510899189e-05,15.555555555555555
Creatinine,9.274770990844229e-07,1.7437790003907606e-06,3.380804936938515e-08,131.11111111111111
Shift_work:nan,2.58846677731819e-06,0.0016217671664274034,0.00034819059883473447,33.33333333333333
Turicibacter,9.352440687122305e-06,7.116549698516742e-07,9.484555671784365e-07,171.11111111111111
unclassified_TM7,9.841691242904599e-06,0.006565386449084728,6.960828510899189e-05,20.0
Uric_acid,1.1356449506122719e-05,2.3999571667667287e-07,3.1138036980616735e-07,173.33333333333334
Red_blood_cell_count,1.3740281761375639e-05,2.373348261017389e-05,8.714543879722977e-08,175.55555555555554
Sleep_.hours.day.,1.7819787378722074e-05,5.2924901352643795e-08,1.1022417324172817e-08,108.88888888888889
Clostridium_sensu_stricto,1.9905803300853065e-05,6.089058864993347e-07,3.1024483497439538e-06,180.0
unclassified_Lachnospiraceae,2.4028640752314123e-05,1.4560757155012396e-10,2.944711570491346e-07,331.1111111111111
Bristol_stool_score,7.813708604692427e-05,3.8335704000210764e-08,1.1334026991526578e-08,280.0
unclassified_Pseudomonadaceae,8.69611292693279e-05,2.8518201222572938e-06,0.0003914935165369627,124.44444444444444
Blautia,0.0002200203413964121,1.0441735949634862e-06,3.661912027183901e-07,322.22222222222223
unclassified_Methanomicrobiaceae,0.0002871041362131179,4.1912105031177015e-05,1.2170341945155727e-05,86.66666666666667
Blood_urea,0.00036875695524862394,0.0010874736904138928,1.9172674341938757e-05,73.33333333333333
unclassified_Rikenellaceae,0.0009059114440396285,0.00028633417317665326,6.960828510899189e-05,37.77777777777778
Eubacterium,0.0012257369931833889,0.00016301157144935438,9.364967255476044e-05,102.22222222222221
A06AD15_65_.osmotic_laxatives.,0.0012812526614447064,0.006194329291898803,6.960828510899189e-05,40.0
Q10_supplement,0.0017656450393069376,0.00046698775539719015,6.960828510899189e-05,42.22222222222222
unclassified_Geminicoccus,0.0017656450393069376,0.003504350694556386,6.960828510899189e-05,42.22222222222222
Clostridium_XVIII,0.0017656450393069376,6.227766625153032e-05,6.960828510899189e-05,42.22222222222222
Anaerotruncus,0.0023782908964240144,0.00033504846920020544,6.960828510899189e-05,44.44444444444444
Gamma.glutamyltransferase,0.0025488839728544685,0.027596364473450187,0.00018883606017562832,60.0
Prevotella,0.002755542550558464,1.1173999843290983e-08,2.0806315605264179e-07,213.33333333333334
Chronic_fatigue_syndrome,0.0034355102325419125,0.00018274751911425457,0.00016893961308410622,33.33333333333333
Working_hours_.hours.week.,0.003550672005140062,0.001855599414548835,7.097516899663475e-05,80.0
Gordonibacter,0.006527963927855324,3.3899303027451054e-05,6.960828510899189e-05,53.333333333333336
unclassified_Erysipelotrichaceae,0.018826418593334622,0.00028931919343573993,0.00011618365613340542,255.55555555555554
Anaerosporobacter,0.025288462733936347,5.789265244853454e-06,2.6781836653120563e-05,148.88888888888889
unclassified_Family,0.02700881985244917,0.0006968838624473113,0.2371709417287884,35.55555555555556
unclassified_Desulfonatronaceae,0.0337887953653306,0.049671022357131965,0.04660645783156104,22.22222222222222
Coffee_.days_since_consumed.option,0.034023971501120936,0.0002147138364392227,0.00016893961308410622,55.55555555555556
Meat_.average_past_week.option,0.035473183152074796,5.162094718676539e-06,0.0004960443384830718,133.33333333333331
unclassified_Prevotellaceae,0.035473183152074796,0.00043122717176818817,8.099329263871381e-05,133.33333333333331
Dialister,0.036268808462975914,8.422846021271725e-05,0.0001616185660326311,75.55555555555556
Pseudoflavonifractor,0.036268808462975914,8.549858761329513e-05,6.960828510899189e-05,75.55555555555556
unclassified_Burkholderiaceae,0.04877606208574669,0.01506293436660622,0.020168831612306762,11.11111111111111
