other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Bacteroides,1.0731041259811328e-17,5.490925356438361e-21,1.471845294227115e-15,268.75
Flavonifractor,1.3819902914894315e-14,2.18683519181736e-09,9.105818038785975e-06,39.58333333333333
Sutterella,2.1097662269550177e-13,1.3637586458376441e-11,3.0417422939009225e-10,95.83333333333334
J01CA04_.amoxicillin.,4.252792047507295e-11,1.228522521232543e-09,5.981987950386422e-08,95.83333333333334
Glomerular_filtration_rate,3.248854243145027e-09,1.154788563746698e-10,2.0622889797246805e-07,131.25
Shift_work:True,3.6864092961189137e-09,1.8450069317973491e-06,3.068885426941667e-09,118.75
unclassified_Fusobacteriaceae,6.5988917016260215e-09,0.002275432520683623,6.978800493096828e-05,37.5
Cetobacterium,8.938828817085693e-09,0.0003126073984155972,1.6860617841096116e-05,18.75
Alcohol_.average_past_week.option,3.4917652393495366e-08,2.67680209580199e-10,1.1730427179273915e-08,133.33333333333331
L04AX01_.azathioprine.,1.4304920108303984e-07,0.0013215286365856442,1.094781080783331e-05,66.66666666666666
Parabacteroides,2.2895216774002798e-07,6.3308174896720176e-09,3.66676463785978e-07,118.75
unclassified_Caldisericaceae,2.5747693516207536e-07,1.5181909367922041e-05,3.6830549281666285e-05,39.58333333333333
unclassified_Thermaceae,5.359195983486339e-07,0.004656195206218113,0.00013309223749909024,33.33333333333333
J01CR02_.amoxicillin_and_enzyme_inhibitor.,2.2058713792148977e-06,2.6027201722347053e-07,1.3361333292026202e-05,81.25
Veillonella,2.965583506707125e-06,5.295943652311239e-06,1.3732629656576941e-05,70.83333333333334
Clostridium_XlVb,3.6316048680252322e-06,4.630303202175362e-08,4.879602443510822e-08,189.58333333333331
Phascolarctobacterium,6.2832208824200695e-06,5.275514000215926e-06,2.979936318860818e-05,52.083333333333336
Buttiauxella,8.224399845373224e-06,0.002529353181791237,0.0004552959979533509,33.33333333333333
unclassified_Streptococcaceae,8.604737284830082e-06,3.003674516974845e-08,6.371021999647544e-07,133.33333333333331
Mucispirillum,1.4320117382634432e-05,2.2984556025744512e-05,0.00023501478968428904,56.25
unclassified_Elusimicrobiaceae,1.458400696329508e-05,5.567057766828377e-06,0.0004552959979533509,35.41666666666667
Eggerthella,5.8480807313738534e-05,0.0004016604330874665,0.0010670184873906102,31.25
Gastroentritis_.other_treatment.,8.992835953238879e-05,8.876355269724605e-06,4.818224335877237e-06,125.0
Granulicatella,9.586414964217204e-05,6.484469714794108e-06,9.467959989570995e-06,81.25
Height,0.0001639851459989852,2.0163691225985602e-05,2.2400835609760953e-07,147.91666666666669
Weight_perception.option,0.0001639851459989852,2.5587674768131657e-05,5.188718973013932e-07,147.91666666666669
Odoribacter,0.0003493378614874371,3.526318327103617e-08,1.1183857606181691e-07,175.0
unclassified_Saprospiraceae,0.0005299015872170294,0.0007791927084414312,1.6860617841096116e-05,54.166666666666664
unclassified_Rhizomicrobium,0.0005954798278557658,0.04131150893628902,9.35076172709744e-05,31.25
Pelomonas,0.0009315728018544621,1.8805811493109053e-06,1.5248079996918614e-05,118.75
unclassified_Deferribacteraceae,0.002099250031697485,0.003531044452021829,0.00023501478968428904,95.83333333333334
unclassified_Enterobacteriaceae,0.002101396105339162,0.003583332019740556,0.0011659790916604027,16.666666666666664
Peptostreptococcus,0.0023287750898575866,0.0002986997653928911,0.0002058949786011346,81.25
unclassified_Vibrionaceae,0.003016720041593373,2.149122218138322e-06,0.0004552959979533509,68.75
Lactobacillus,0.003016720041593373,0.001656787531231785,0.0004552959979533509,68.75
Enterococcus,0.0037013650019867526,0.006165508630223059,0.0004552959979533509,70.83333333333334
Gender:F,0.004248247995208432,1.7298642723497822e-06,1.2095067904142238e-07,293.75
EscherichiaShigella,0.0046042399579480425,0.00042751144708948126,0.00031507739236785964,31.25
Mean_corpuscular_hemoglobin_concentration,0.0055293906273501045,8.105633366294055e-07,4.017425708513416e-07,191.66666666666669
Ulcerative_colitis,0.00569632539180284,0.002134998457199591,0.001757859797788789,45.83333333333333
Working_start_age.option,0.005739211446493018,2.9559333402714697e-07,1.2236718577873405e-06,193.75
Brevibacterium,0.005821729368607842,0.00015462673243722336,6.417059182751026e-05,60.416666666666664
Smoking_with_inhalation:Ja,0.00664617252919044,6.377390140252348e-05,5.286628234150595e-05,93.75
Holdemania,0.008371246721567175,0.0017641358305084697,0.014660145749065183,35.41666666666667
Pediococcus,0.008371246721567175,0.00018084703299794955,0.0004253988598012684,35.41666666666667
Paraeggerthella,0.015806208200250256,0.01179666183241805,0.01865058147870059,27.083333333333332
Pets_.past_3_months.,0.017792264251020005,0.0060719917377373344,0.0003130935467471316,143.75
Childhood_residence_type.option,0.019937767833730656,0.0006034384438830768,0.0015778448700924082,75.0
Magnesium_supplement,0.023073226361861966,0.0001082446826997898,0.00557026037210372,77.08333333333334
Smoking_with_inhalation:Not_relevant,0.029025816252267377,0.0001622242946784617,0.00011996620824594493,110.41666666666667
