other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Lactonifactor,2.017743551363994e-15,1.9292339383405146e-10,4.7732210680638745e-08,61.224489795918366
Pseudoflavonifractor,2.3531854531437148e-15,1.1297407281734175e-10,1.8244093674682916e-08,69.38775510204081
Clostridium_XVIII,1.9780242456899823e-14,1.404820867114078e-07,1.1782499998054073e-05,38.775510204081634
Anaerotruncus,7.472562732401555e-14,1.8313792362283203e-07,1.1782499998054073e-05,40.816326530612244
Chronic_fatigue_syndrome,1.5867803167746985e-13,1.1359522460752432e-06,1.4772399900758094e-08,30.612244897959183
Clostridium_III,4.0797599319097136e-13,0.007346863300089264,5.717854029377639e-05,22.448979591836736
Bilophila,3.8705377608936654e-12,2.8826722847015457e-11,8.121369022246095e-09,165.3061224489796
unclassified_Acanthopleuribacteraceae,4.602193905973656e-12,0.0022154733012250375,5.717854029377639e-05,24.489795918367346
Phascolarctobacterium,1.1823946427438551e-11,4.307354024381853e-10,6.623886941759268e-06,51.02040816326531
Alistipes,3.120098152428941e-10,1.1313709224639402e-13,6.291897198081197e-11,261.2244897959184
Comamonas,1.3072195892277924e-09,0.003276890746558598,5.717854029377639e-05,32.6530612244898
Coffee_.days_since_consumed.option,4.313703395375148e-09,1.5281686409395684e-05,1.239630366786222e-05,51.02040816326531
Marvinbryantia,1.7605044026530602e-08,0.001233117070395702,0.0004067640890391497,14.285714285714285
unclassified_Thermomicrobiaceae,1.7605044026530602e-08,0.001233117070395702,0.0004067640890391497,14.285714285714285
Shift_work:False,1.842874401068221e-08,1.2717768776691352e-05,3.0238941844923455e-09,151.0204081632653
Barnesiella,3.277269021551178e-08,1.0127208368651396e-09,1.7858233736304544e-08,114.28571428571428
Campylobacter,1.452150662415814e-07,0.0013686622784435793,5.717854029377639e-05,44.89795918367347
A06AD15_65_.osmotic_laxatives.,1.6083277685027995e-07,0.0002358751130622158,0.0005555514774463833,36.734693877551024
unclassified_Aeromonadaceae,4.833672271913562e-07,0.0023772888301038637,0.007965751313417788,24.489795918367346
unclassified_TM7,5.566372343232778e-07,0.013066137032057086,0.0004067640890391497,18.367346938775512
unclassified_Haloplasmataceae,2.4260107740787568e-06,0.00021320412122057342,0.00015473030246863575,36.734693877551024
Time_since_previous_relief.option,2.8710407201844143e-06,0.0005643502039333212,2.7399179603025917e-06,79.59183673469387
unclassified_Thermoactinomycetaceae,3.2520877769632813e-06,6.517942590236363e-10,3.088744698545049e-07,148.9795918367347
Gordonibacter,4.923725893838716e-06,5.67459578166136e-07,2.4660824389781172e-05,48.97959183673469
Acetanaerobacterium,5.1757574805642506e-06,1.9590651400508205e-06,0.007965751313417788,30.612244897959183
Anaerofustis,9.702529476799432e-06,1.4886500802026423e-06,0.007965751313417788,32.6530612244898
unclassified_Puniceicoccaceae,1.5058559203455474e-05,4.8334471978921055e-08,1.5592116134430858e-07,104.08163265306123
Sick_leave_.freq._past_year.:nan,1.7819787378717175e-05,1.1022417324172817e-08,5.2924901352643795e-08,91.83673469387756
Streptophyta,1.993179625346878e-05,1.6151753604566484e-06,5.717854029377639e-05,67.3469387755102
Blood_urea,1.993179625346878e-05,3.0213116963230663e-05,2.3083612052472006e-06,67.3469387755102
HDL_cholesterol,3.145751430664508e-05,1.2874479478039603e-05,1.784519850142858e-05,110.20408163265304
Parabacteroides,6.201680266532469e-05,8.282345385598021e-08,4.710272352444736e-06,116.3265306122449
Fruits_.freq._past_week.option,6.831072515078862e-05,8.160413745395408e-05,8.191364633567982e-06,75.51020408163265
Oscillibacter,0.0001179004804435261,8.177088897239717e-08,5.717854029377639e-05,79.59183673469387
Working_start_age.option,0.00013475280251922805,2.6133614052752648e-05,3.7850143200496013e-07,189.79591836734696
unclassified_Rikenellaceae,0.00017873894206363352,6.508018635921427e-05,0.0004067640890391497,34.69387755102041
unclassified_Desulfohalobiaceae,0.00018992158837312787,0.000204819004331809,2.2999247752496468e-05,112.24489795918366
unclassified_Anaplasmataceae,0.0002458061201383063,3.4579963441418772e-06,0.00015473030246863575,59.183673469387756
Papillibacter,0.0003134085554610644,9.849722851054775e-05,5.717854029377639e-05,87.75510204081633
Q10_supplement,0.00040653448298938027,0.0012720355241888025,0.0004067640890391497,38.775510204081634
unclassified_Geminicoccus,0.00040653448298938027,0.000773064009930358,0.0004067640890391497,38.775510204081634
Parvimonas,0.0004346452842318144,1.3497150217899283e-05,0.00015473030246863575,63.26530612244898
unclassified_Methanomicrobiales,0.00045838025488923313,0.005460769552509253,1.7118635529716223e-05,106.12244897959184
Odoribacter,0.00045907264290499854,2.65398534701052e-09,1.0354372465592972e-06,171.42857142857142
unclassified_Bradyrhizobiaceae,0.000486575981185863,1.3098900850168522e-06,1.4597820313983939e-05,91.83673469387756
Alpha.2.globulin,0.000486575981185863,6.643886285193694e-08,0.00021837853005995725,91.83673469387756
Bacteroides,0.0004911292193651534,7.574937074000694e-09,5.946340605875206e-08,263.265306122449
unclassified_Syntrophobacteraceae,0.0005844327066133831,0.00011651740262502758,0.0002557760213304291,20.408163265306122
unclassified_Methanomicrobiaceae,0.0006095775872268012,0.0003622229916854748,1.2170341945155727e-05,79.59183673469387
J01CR02_.amoxicillin_and_enzyme_inhibitor.,0.0006095775872268012,4.596158548550933e-06,0.0006529351169599592,79.59183673469387
unclassified_Vibrionaceae,0.0007302701669666593,0.0040142918246713205,0.00015473030246863575,67.3469387755102
Mucispirillum,0.0008190009141366154,0.0028897909000438174,0.007965751313417788,55.10204081632652
Robinsoniella,0.0008190009141366154,3.57677770115309e-05,0.007965751313417788,55.10204081632652
Chocolate_type_preference.option,0.0009306924278906379,0.011617853883721675,0.000857202924496989,69.38775510204081
unclassified_Methanosarcinaceae,0.0013898573690624982,0.0012023055474523774,0.00014273754089356386,59.183673469387756
unclassified_Rhodobacteraceae,0.0022295906185525413,2.592859015372244e-05,0.00015473030246863575,77.55102040816327
Porphyromonas,0.0022295906185525413,0.0009660024929407247,0.00015473030246863575,77.55102040816327
Thermogymnomonas,0.0022419918039512012,5.877410807223319e-06,0.0005360564563855368,63.26530612244898
unclassified_Methanocellaceae,0.0022419918039512012,0.030113017824765845,0.00015522119859951155,63.26530612244898
Gender:F,0.0024254514630612095,4.250542777631232e-06,1.1077377388964129e-08,287.7551020408163
Irritable_bowel_syndrome,0.0024837324487632264,9.526228246638068e-06,3.40961619861545e-05,93.87755102040816
unclassified_Beutenbergiaceae,0.002715594527949324,0.04101451439815107,0.0007517849936680927,79.59183673469387
Succinatimonas,0.0027978138285184974,0.00020326395563424296,0.00048191181578424963,38.775510204081634
unclassified_Saprospiraceae,0.0033625582752135202,9.213516040173168e-06,0.0027402149429051003,53.06122448979592
Allobaculum,0.003513248390550406,0.0495774515928364,1.6343239691558864e-05,114.28571428571428
Childhood_residence_type:nan,0.003590661402326945,0.00015777259570608999,0.0002557760213304291,28.57142857142857
G03CA04_CC06_.estrogens.,0.004698144960477948,0.0017111489403127745,0.00031022840025238095,85.71428571428571
unclassified_Burkholderiaceae,0.004747036379254587,0.0028851904056765377,0.010162964089819397,10.204081632653061
Denitrobacterium,0.005051406967776101,0.021289323672070423,0.0008181995245247246,30.612244897959183
Shift_work:nan,0.005051406967776101,0.0002544697923316783,0.0005205061107980538,30.612244897959183
unclassified_Subdivision5,0.0068914354530116234,0.002723521446805742,0.0002557760213304291,32.6530612244898
Magnesium_supplement,0.007414048239983358,0.006383554452555962,0.0001020846562980119,75.51020408163265
Fruits_.days_since_consumed.option,0.00879657027236537,8.729538817732518e-06,0.007965751313417788,77.55102040816327
Murdochiella,0.00894114462727181,0.002837743067808626,0.006612551249754274,12.244897959183673
unclassified_Planctomycetaceae,0.009157396457981177,0.0004403940812578165,0.0002557760213304291,34.69387755102041
Granulicatella,0.01036585433543658,0.00020326377064470343,0.0005018805382135946,79.59183673469387
unclassified_Ferroplasmaceae,0.01036585433543658,0.0014051698824410466,0.00011652482805031451,79.59183673469387
unclassified_Desulfomicrobiaceae,0.012357990770889917,1.2413298628616315e-06,5.717854029377639e-05,128.57142857142858
Slackia,0.016948077358464167,0.007726481760128745,0.006272382574114954,136.73469387755102
unclassified_Acetobacteraceae,0.019004285198315714,6.446917875186145e-08,1.3346662022432631e-06,175.51020408163265
Bread_type_preference.option,0.01962117745798531,9.526228246638068e-06,1.123625722583554e-06,118.36734693877551
Pets_.past_3_months.,0.020206288509085936,5.97054692890425e-07,1.0933323628397366e-05,140.81632653061226
unclassified_Enterobacteriaceae,0.02221650474314542,0.0029011663984731045,0.006612551249754274,16.3265306122449
unclassified_Prevotellaceae,0.022618316833034665,1.7744140244959853e-05,4.036286547835036e-07,122.44897959183673
unclassified_Thermoplasmatales,0.024640748383478944,8.988767964004339e-06,3.3484935264542145e-06,159.18367346938774
Sporobacter,0.025206541413677105,3.884425307781049e-08,9.603227024493507e-07,240.81632653061226
Brevibacterium,0.025626984118179066,4.6774869102584296e-05,0.0017152922875120836,59.183673469387756
