other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Alcohol_.average_past_week.option,6.152186794888292e-14,2.2019409395269175e-10,7.818710880837831e-10,142.22222222222223
Smoker,1.66247073069266e-11,1.7345786396075172e-07,3.2254848862080804e-09,104.44444444444446
unclassified_Fusobacteriaceae,3.070608556835999e-09,2.2288643320495495e-06,7.890718525359075e-06,40.0
Spirits_consumption.option,1.0689015394851531e-07,4.122409451718118e-05,8.50444346090468e-05,86.66666666666667
Cellulosilyticum,2.695170637673606e-07,0.00037040178800803157,0.00017413650172399715,66.66666666666666
unclassified_Thermaceae,2.930956208992985e-07,0.0006974423792798624,2.7432448609495957e-05,35.55555555555556
Cigarettes_.average.day_past_3_months.,2.5449036041618103e-06,0.0001086550465822198,9.986266939925073e-07,93.33333333333333
L04AX01_.azathioprine.,5.6812981521953345e-06,4.724302722475493e-06,7.890718525359075e-06,71.11111111111111
Gastroentritis_.other_treatment.,7.313263049029881e-06,9.416096856744108e-09,7.233832302098911e-07,133.33333333333331
R06AX28_.rupatadine.,9.991886031587319e-06,0.01966788416411188,0.0004042377018544419,88.88888888888889
Veillonella,1.125033887934471e-05,4.2763321657368524e-07,7.890718525359075e-06,75.55555555555556
Shift_work:True,2.068905158569701e-05,1.471096955890359e-05,9.136291996102584e-07,126.66666666666666
Fusobacterium,2.1176946177380185e-05,0.020844357895789443,0.0002784352273538218,31.11111111111111
Flavonifractor,2.407443749390638e-05,3.793383080581451e-05,0.00018409381617473947,42.22222222222222
Fruits_.days_since_consumed.option,3.7709491914255566e-05,2.654435590304751e-06,4.4480429588748574e-05,84.44444444444444
J01CR02_.amoxicillin_and_enzyme_inhibitor.,4.961839123505276e-05,4.67183702697804e-07,7.890718525359075e-06,86.66666666666667
Uric_acid,5.360782120272923e-05,0.0007287631442397132,2.2459470469410927e-06,173.33333333333334
Roseburia,6.093167334978024e-05,5.49668985800542e-08,4.581307900007707e-08,300.0
Mucispirillum,6.356240660943687e-05,0.0009229747819091775,4.7796978140832844e-05,60.0
Bristol_stool_score,7.813708604692427e-05,1.0714423000169182e-06,2.2127903328277313e-08,280.0
J01CA04_.amoxicillin.,0.00026471177229532046,1.5726982705646136e-06,7.890718525359075e-06,102.22222222222221
Faecalibacterium,0.00027102081388989837,2.6345649812037286e-07,4.1812661536218297e-08,395.55555555555554
Selenomonas,0.0003361380393679683,0.00264199512475018,0.0016143431117531671,44.44444444444444
Clostridium_XI,0.0003517333125793377,4.956547966292289e-07,5.9019565904594336e-05,160.0
Ulcerative_colitis,0.0006573357479312665,3.0269491566558774e-05,0.0003305269696204977,48.888888888888886
Turicibacter,0.0007479444097015412,2.8983368172731485e-08,0.00033915111702405884,171.11111111111111
unclassified_Anaplasmataceae,0.0007607049584596015,0.033595323511684094,0.00027819699994476043,64.44444444444444
Ruminococcus,0.0007868669272727087,8.383079330103143e-10,1.424599705302229e-06,315.55555555555554
Height,0.0011493377705866228,5.72928348446865e-07,4.826414410395611e-08,157.77777777777777
unclassified_Streptococcaceae,0.0015073140619983121,4.0853265746845484e-08,1.937050998124383e-06,142.22222222222223
Clostridium_XlVb,0.0017873420813132356,1.4229550714205874e-05,9.123713458551828e-08,202.22222222222223
Eggerthella,0.0034355102325419125,0.0033855157162005003,0.0023503348599165012,33.33333333333333
Gender:M,0.0037924109653347214,6.905695672213581e-06,3.0095460048269995e-07,282.22222222222223
unclassified_Methanosarcinaceae,0.003981116137396762,1.5189190980386031e-05,1.2465975311859415e-05,64.44444444444444
unclassified_Deferribacteraceae,0.004912552968213174,0.0019101313851730985,0.00015595624458883831,102.22222222222221
Clostridium_sensu_stricto,0.005199236252009911,3.4234585654130217e-07,0.0004377070116113847,180.0
Neisseria,0.005960302549724546,0.005130294158923747,0.0011272682598774946,68.88888888888889
Sick_leave_.freq._past_year.option,0.0066461725291897585,5.286628234150595e-05,6.377390140252348e-05,106.66666666666667
Paraeggerthella,0.012575998102622256,0.012554238224580464,0.007536396383217414,28.888888888888886
unclassified_Desulfarculaceae,0.013262965624539299,0.026860640912765833,0.0002518760797598764,44.44444444444444
Pelomonas,0.029637679789164997,0.0006104829156290399,7.616076762142645e-05,126.66666666666666
Hemoglobine,0.041738165823883754,0.0033146375252800083,6.8825601798995156e-06,300.0
Megamonas,0.048571788523042975,0.0005866043218709858,0.0028672953076142264,42.22222222222222
unclassified_Sutterellaceae,0.049350512629067755,4.147247235853538e-06,1.937050998124383e-06,202.22222222222223
