n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,11,L04AX01_.azathioprine.,9.851638355683516e-11,3.482807745365574e-15,,0.00044588020804356486,,34.375
comps0,11,Veillonella,9.851638355683516e-11,7.72274760928883e-15,,0.0012769896935846841,,32.35294117647059
comps0,11,unclassified_Streptococcaceae,1.1821966026820153e-09,1.6622264828998204e-11,0.562342605179145,0.01685376289545496,0.49245682377288025,17.1875
comps0,11,unclassified_Fusobacteriaceae,9.851638355683516e-11,8.590375538697244e-19,,0.023563841459866355,,61.111111111111114
comps0,11,Bacteroides,3.585996361468768e-08,5.484136900930414e-08,0.01019787677624024,0.02547600717842369,0.42662050975418064,8.527131782945736
comps0,11,unclassified_Anaplasmataceae,0.014080862962852393,5.6575598694155286e-05,0.025347318677468252,0.02696388980599862,0.6004712601233853,17.24137931034483
comps0,11,Paraeggerthella,0.0022148394241417596,5.386305722149686e-05,,0.037242544595979345,,30.76923076923077
comps0,11,Flavonifractor,7.654723002366066e-07,5.331336746608227e-11,,0.038988612096358614,,42.10526315789473
comps0,11,Paraprevotella,0.01162790697674415,0.037673310798486244,,0.04804612477008973,,7.5
comps4,20,Turicibacter,2.3227476432241004e-07,4.7790387226292975e-09,,0.02010096196314441,,18.181818181818183
comps4,20,Hemoglobine,2.1748910190532908e-05,8.9051181336004e-06,0.05673822137519339,0.020917822894083952,0.15472155725722697,10.37037037037037
comps4,20,Coprococcus,1.654681178220609e-05,0.006281639171889618,,0.02856821978137164,,7.6923076923076925
comps4,20,Ruminococcus,6.624875625977854e-12,2.7907253764932063e-13,0.09864761042929915,0.04147784948591306,0.12173308580001893,14.084507042253522
comps4,20,Roseburia,0.0002752950835429816,4.9644267909473086e-08,0.007955438571009398,0.04542681930451802,0.0013450574952047056,11.851851851851853
comps5,10,Megamonas,0.0014094432699083826,0.00017981766298566884,,0.005110260660855864,,21.052631578947366
