other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Akkermansia,1.3649767516585584e-17,3.594605163424756e-15,4.685286993557675e-09,69.64285714285714
Plan_to_change_weight.option,2.261705365625182e-16,1.354230940088568e-15,5.6500286339252235e-08,116.07142857142858
Methanosphaera,3.0482388281565286e-16,1.4049608695586243e-11,1.0279293199691513e-06,35.714285714285715
unclassified_Thiotrichaceae,2.5144194289821854e-14,4.581049263143438e-16,2.3797328822994066e-09,114.28571428571428
unclassified_Thermoactinomycetaceae,1.3041362520081838e-13,1.773598144435517e-15,5.6133158404206225e-11,130.35714285714286
unclassified_Eubacteriaceae,3.009950256453558e-13,7.128483960290862e-16,5.6133158404206225e-11,133.92857142857142
unclassified_Desulfovibrionaceae,4.709617130561578e-13,9.571949410279691e-08,4.259535104364416e-09,73.21428571428571
Weight_perception.option,5.962766285699256e-13,1.2133906464229225e-11,2.3797328822994066e-09,126.78571428571428
unclassified_Puniceicoccaceae,8.332028461871478e-13,2.3705838581542834e-13,1.1414163928893177e-08,91.07142857142857
unclassified_Oleiphilaceae,1.0284198313054004e-12,1.586918414870721e-07,4.3118307747112906e-07,67.85714285714286
Methanobrevibacter,1.780513709194824e-12,1.4088032315139671e-14,2.0145222488434985e-13,200.0
unclassified_Thiohalobacter,1.9523486761109564e-12,9.76708891255767e-06,3.175122353991667e-05,23.214285714285715
unclassified_Clostridiaceae,2.3990716808440657e-12,1.0794829207588447e-16,7.62787349680694e-13,201.78571428571428
unclassified_Bacillales,3.687241059128197e-12,6.125481608267675e-08,1.735532194078146e-07,105.35714285714286
unclassified_Waddliaceae,9.965970380431885e-12,7.628247430054795e-05,5.285369670680236e-08,91.07142857142857
Hydrogenoanaerobacterium,2.3106192997980104e-11,3.272166318745896e-07,7.477483440534377e-05,35.714285714285715
unclassified_Gracilibacteraceae,4.506193028032962e-11,5.595881311382455e-16,1.317508932910143e-12,194.64285714285714
unclassified_Porphyromonadaceae,4.506193028032962e-11,4.092532186911186e-08,1.317508932910143e-12,194.64285714285714
unclassified_Syntrophorhabdaceae,6.766536887663667e-11,2.025716650329568e-11,5.895344054602279e-06,57.14285714285714
unclassified_Clostridiales,9.123791735354589e-11,8.41733501102251e-17,1.3662064597100911e-12,239.28571428571428
unclassified_Chitinophagaceae,1.0318497695123465e-10,2.861268030744132e-12,1.7843531470083775e-10,119.64285714285714
unclassified_Bacillaceae,1.1059388480784826e-10,3.721730050939284e-12,6.918512838190629e-09,141.07142857142858
unclassified_Helicobacteraceae,1.3140014836320734e-10,1.0343665400105206e-05,6.133387753598701e-06,51.78571428571429
unclassified_Eionea,1.403459897238537e-10,0.04232401340801243,4.4890992670732894e-06,23.214285714285715
unclassified_Desulfomicrobiaceae,1.9266506261920112e-10,1.2881663634395878e-09,1.1414163928893177e-08,112.5
unclassified_Victivallaceae,4.1172539114746e-10,2.1470301250945197e-14,3.6135968621637894e-10,196.42857142857142
unclassified_Peptococcaceae,5.585944916104196e-10,2.998393186875466e-13,3.917996890931201e-10,150.0
Breakfast_.N_past_week.,6.104576933187611e-10,5.3898650934290807e-08,1.3984576077001102e-09,98.21428571428571
unclassified_Natranaerobiaceae,6.930719625086053e-10,5.859759373542396e-15,3.3747892072596084e-12,200.0
unclassified_Incertae,7.062311062899796e-10,1.6559765965530298e-15,5.6133158404206225e-11,175.0
unclassified_Heliobacteriaceae,8.404787752553088e-10,4.362466425666904e-11,1.4595954012643342e-09,141.07142857142858
Rikenella,9.46316692584072e-10,0.0007406347075199083,6.133387753598701e-06,57.14285714285714
unclassified_Kofleriaceae,1.0636852671418824e-09,1.9970850405731345e-08,4.694412982960944e-09,82.14285714285714
Shift_work:False,1.2207037160213388e-09,2.88858569546232e-06,8.088567529962872e-09,132.14285714285714
Acetitomaculum,1.499751085901303e-09,4.3282725623584524e-05,0.0006825484338006359,21.428571428571427
unclassified_Ruminococcaceae,1.649786324580547e-09,5.5623066612856034e-18,5.0871859395731406e-14,276.7857142857143
N06AX16_.venlafaxine.,1.9362054323033808e-09,0.01626356070251737,2.1681452280265572e-06,51.78571428571429
unclassified_Veillonellaceae,2.7115195691069077e-09,9.085381497203316e-16,5.879251232465941e-11,266.07142857142856
