n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,26,unclassified_Ruminococcaceae,1.5800687213803963e-08,1.0151607125338407e-16,1.005996825446394e-05,1.2264563056645196e-09,0.017069335261845658,16.7741935483871
comps1,26,unclassified_Gracilibacteraceae,2.731789814754391e-11,5.256261167487258e-21,0.013488798987627197,1.1047783751772554e-06,0.1405620920780925,23.853211009174313
comps1,26,unclassified_Clostridiaceae,1.8210597282209113e-06,5.737259797213319e-17,0.004104654430205219,4.33164449343919e-05,0.4791748278507918,21.238938053097346
comps1,26,unclassified_Clostridiales,3.6597308207728692e-09,1.469043189150852e-18,0.022990394092464894,0.0001531930318565402,0.549654891468463,19.402985074626866
comps1,26,unclassified_Thermoanaerobacteraceae,0.000125525045845042,1.8012454745468928e-10,0.009310655761269344,0.00016700515199556738,0.5345361281442755,16.80672268907563
comps1,26,unclassified_Natranaerobiaceae,4.240761136036164e-12,1.6105109568210982e-20,0.05090444811242372,0.00024064374294433297,0.38908493714453773,23.214285714285715
comps1,26,unclassified_Incertae,1.13744959158565e-13,4.784729939444923e-22,0.1534984884368536,0.0005598375794981263,0.9863304570442286,26.53061224489796
comps1,26,unclassified_Ignavibacteriaceae,0.0010998109935798268,0.0015207217595161662,,0.0005794396741383585,,15.09433962264151
comps1,26,Methanobrevibacter,7.851808512463951e-10,6.986169906153936e-21,0.010645266507516543,0.000587526872303737,0.011251197437995004,23.214285714285715
comps1,26,Plan_to_change_weight.option,5.538296225696812e-13,4.889371543646542e-28,0.03168638853979372,0.0007808651509787039,0.6352562959972483,40.0
comps1,26,Allobaculum,0.0004124291225924317,0.00042002049461534495,,0.0012171660033230898,,16.071428571428573
comps1,26,Oscillibacter,5.503217064838909e-06,6.011518717595424e-10,,0.002889851358484753,,33.33333333333333
comps1,26,Mogibacterium,1.6637632986722226e-06,9.860548824516552e-08,,0.005909052690583318,,20.8955223880597
comps1,26,Chocolate_type_preference.option,0.0010998109935798268,5.571695256182163e-05,,0.00882672500133459,,23.52941176470588
comps1,26,unclassified_Aerococcaceae,1.6637632986722226e-06,5.873934397618e-13,,0.009876495724190975,,45.16129032258064
comps1,26,unclassified_Hydrogenophilaceae,0.017220724767894602,0.0004402262518153193,,0.010803684532845385,,31.25
comps1,26,unclassified_Peptococcaceae,1.5045629518328859e-16,8.148997801492592e-24,,0.013613903194266037,,30.952380952380953
comps1,26,Succinatimonas,0.04070353126956904,0.008711035538532837,,0.02780689502699719,,21.052631578947366
comps1,26,unclassified_Heliobacteriaceae,4.664145150681893e-15,2.8248506510755816e-22,,0.031113406469789065,,31.645569620253166
comps1,26,Akkermansia,1.798494370102953e-11,8.62879207361928e-28,0.09664823731222827,0.032738153017724606,0.2328233516916538,58.97435897435898
comps1,26,Butyricicoccus,0.02399534683403666,9.202882438081605e-05,1.0,0.033129219060878685,0.06555216116550257,16.39344262295082
comps1,26,Barnesiella,9.286994333331284e-07,2.4240845303797067e-14,0.023342202012890816,0.03329316981884432,0.01860292990113577,32.142857142857146
comps1,26,Victivallis,8.046855184924306e-05,5.381122537159935e-07,0.10686371499337947,0.036240986557898175,0.11739614389184125,20.0
comps1,26,Bilophila,0.00726893192711316,0.0013802732877852234,0.08567343955231686,0.047356896036890875,0.11785089502136513,12.345679012345679
comps1,26,unclassified_Thiotrichaceae,4.0623199699487636e-15,8.325146141884797e-28,0.7973514701113643,0.04821529940881908,0.4656731185824281,40.625
comps3,13,Bloating_.days_past_week.option,9.060227864730795e-07,6.210827559440203e-09,,0.0005880757507088486,,32.0
comps3,13,Rothia,0.0019466906259359123,0.00470958687572778,,0.018045560155032878,,12.5
comps3,13,Roseburia,7.399186089530129e-06,0.02086875126907367,,0.021885997497796565,,5.185185185185185
comps3,13,Scardovia,3.3509991712461785e-05,7.545249967173447e-10,0.05018618676897533,0.02526030163201243,0.7150006546880893,36.36363636363637
comps3,13,Prevotella,4.5335426621098514e-09,3.3473628859407184e-11,0.06821301820516561,0.043505865989234255,0.7740475236975638,13.541666666666666
