other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Methylocystaceae,5.716115899209865e-16,0.00033277469219837304,1.0601508610245783e-06,50.943396226415096
Synergistes,4.854033231110967e-14,0.001384591310489422,1.3111839148349891e-06,52.83018867924528
unclassified_Simiduia,9.542750019239024e-10,0.04793366065283604,1.8556024465412934e-05,33.9622641509434
Helicobacter,1.2728283673959252e-08,0.006024937278021824,4.4628660060292055e-06,47.16981132075472
unclassified_Natranaerobiaceae,2.736525846918444e-08,3.6852009841904664e-11,1.571195351595914e-09,211.32075471698113
Victivallis,4.954634414975682e-08,8.908887089757916e-11,3.50444660683014e-08,122.64150943396226
unclassified_Thermoleophilaceae,5.434523651051481e-08,0.03771589890725413,9.632190581520579e-05,60.37735849056604
Geobacillus,5.434523651051481e-08,0.02519245824457672,4.078507461086913e-06,60.37735849056604
unclassified_Cryomorphaceae,6.23433394413918e-08,3.329848632756885e-10,4.274348675612838e-09,175.47169811320757
unclassified_Methermicoccaceae,7.48638783803484e-08,0.018261022722410456,4.4628660060292055e-06,52.83018867924528
unclassified_Leuconostocaceae,3.312463224405116e-07,2.3568200493111565e-06,1.4987195468505811e-05,20.754716981132077
unclassified_Coriobacteriaceae,5.770680528975842e-07,1.8660182199094887e-09,2.801894976876514e-08,194.33962264150944
unclassified_Thermoanaerobacteraceae,5.91810129457591e-07,3.5797264627283704e-10,1.7668040644880186e-08,224.52830188679246
unclassified_Ruminococcaceae,8.21601323314848e-07,1.9832118178763386e-12,1.4966670653699569e-10,292.45283018867923
unclassified_Hydrogenophilaceae,1.3366591327755826e-06,6.604617714184048e-06,2.2259702264060887e-05,30.18867924528302
Enterorhabdus,2.8633225178123148e-06,9.468732645610834e-09,1.524477164973069e-07,166.03773584905662
G03CA04_CC06_.estrogens.,3.117041850120534e-06,1.8115446141453775e-06,1.1845431088567449e-05,79.24528301886792
unclassified_Halobacteroidaceae,3.865405390173547e-06,6.787997014034189e-07,4.4628660060292055e-06,69.81132075471697
unclassified_Incertae,4.643197992902974e-06,2.900924744888084e-10,6.474617335750968e-07,184.9056603773585
Brachyspira,4.816833710265717e-06,0.02077746208165642,0.008031794253988837,9.433962264150944
unclassified_Chloroplast,4.93107230824825e-06,1.7016273934777366e-05,1.5227331560504607e-05,33.9622641509434
unclassified_Erysipelotrichaceae,5.6106417550754445e-06,1.7643336725245334e-07,2.373760590290079e-10,216.98113207547172
unclassified_Gracilibacteraceae,8.171537024347887e-06,3.897572465463329e-11,3.852547262430007e-08,205.6603773584906
unclassified_Clostridiales,8.541283182096553e-06,4.2077416554005545e-10,5.010211985768756e-09,252.83018867924528
unclassified_Rhodocyclaceae,1.0147797241989437e-05,5.938535291489021e-07,9.292984039731252e-07,98.11320754716981
unclassified_Chitinophagaceae,1.5356192497529608e-05,4.201540638178091e-07,3.8227780993416617e-07,126.41509433962264
unclassified_Peptococcaceae,2.5667106149401003e-05,1.1723916773605864e-09,1.5299408738908448e-07,158.49056603773585
unclassified_Enterococcaceae,2.5820693791449553e-05,6.037788869849283e-05,6.585273041737085e-06,69.81132075471697
unclassified_Hahellaceae,2.6305524403009443e-05,7.638742384433009e-07,4.4628660060292055e-06,81.13207547169812
unclassified_Thermoplasmataceae,2.6305524403009443e-05,0.00019699802636066074,4.4628660060292055e-06,81.13207547169812
Cetobacterium,2.672107714475287e-05,0.00601597571441112,0.00033659231489399226,16.9811320754717
unclassified_Leptospiraceae,3.183931199209241e-05,0.00030640350438731107,1.4987195468505811e-05,32.075471698113205
