other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Parabacteroides,9.977753776906287e-14,7.195703703993257e-10,1.1839384054474005e-08,237.5
Pets_.past_3_months.,7.66292266854621e-11,9.461608060118764e-06,4.125661595307319e-09,287.5
Weight_perception.option,1.2459400005039822e-10,1.3485746119734681e-05,1.7437790003907606e-06,295.83333333333337
Food_allergy,6.590983473782344e-10,0.0016663419352975772,8.718214607045646e-06,187.5
Glomerular_filtration_rate,5.016378272005389e-09,2.288103704313229e-07,5.700299368054661e-07,262.5
Barnesiella,1.386512625001969e-08,1.7210458951121758e-06,6.468935398797068e-05,233.33333333333334
unclassified_Mariprofundaceae,4.375017742574573e-08,0.004021949196648756,3.7700138445098364e-05,166.66666666666669
Coffee_.days_since_consumed.option,7.900843934329576e-08,3.082500384359258e-05,6.298500875101908e-05,104.16666666666667
Breakfast_.N_past_week.,1.457417644377849e-07,0.0001184359043533168,8.684840593943423e-07,229.16666666666666
unclassified_Bradyrhizobiaceae,1.723509783109612e-07,0.003550253944069418,5.099365838897304e-06,187.5
Bacteroides,1.9582154111484395e-07,3.7899638789641103e-10,1.1839384054474005e-08,537.5
unclassified_Methanomicrobiales,8.836021399921641e-06,2.2173820850635604e-06,0.00015011908655235233,216.66666666666666
Sutterella,2.5601075670320603e-05,0.0011375415672045933,1.3257356357839222e-05,191.66666666666669
unclassified_Thermotogales,3.7428045746164345e-05,2.4757340859688304e-05,1.7838452670917292e-05,112.5
Peptostreptococcus,5.821518808035731e-05,7.880068323022723e-05,4.1113039151138444e-06,162.5
Alistipes,6.95425967268096e-05,4.4334871480112324e-07,6.366472817078843e-07,533.3333333333333
Plan_to_change_weight.option,7.350246832603892e-05,0.0004277228696891283,0.0004701921532855621,270.83333333333337
unclassified_Cellulomonadaceae,7.371837802960508e-05,0.002034123709328093,6.298500875101908e-05,216.66666666666666
Odoribacter,0.0001315053668385937,2.6199858231289034e-06,0.00011865475307316899,350.0
Gordonibacter,0.00019155566477970222,0.00019568625898377744,7.775016713612145e-05,100.0
Gender:F,0.00022298659314347967,3.341296363961767e-07,9.32226150565707e-07,587.5
Anaerococcus,0.0005705478371887705,0.0027593232060735386,0.0010568442483208053,45.83333333333333
HDL_cholesterol,0.0006682935279501012,0.007747425585888307,4.63420987040486e-06,225.0
Irritable_bowel_syndrome,0.0013614815785788317,0.005457187881178063,1.7838452670917292e-05,191.66666666666669
Parasutterella,0.0015929762356216167,0.027812933427510393,0.05581730147716045,58.333333333333336
unclassified_Hyphomonadaceae,0.001965059723931883,0.0003680996433590143,4.63420987040486e-06,262.5
Phascolarctobacterium,0.0021865955988191275,0.03625429466367558,0.003921288712805951,104.16666666666667
Bilophila,0.0025117057045892237,0.0005909136389053071,1.6062407084066546e-05,337.5
Working_start_age.option,0.0067816972669776186,0.002649977364510665,1.563955678759108e-05,387.5
Clostridium_XlVb,0.020384457671283048,0.0026902664158666365,0.00022246932912998896,379.16666666666663
Sneathia,0.021405275860970418,0.01514922873211597,0.016778708339793592,25.0
unclassified_Chromatiaceae,0.029228326983921072,0.01514922873211597,0.016778708339793592,29.166666666666668
Saccharofermentans,0.03202130481668986,0.04927894072864653,0.012448518022969245,75.0
Chocolate_type_preference.option,0.04245106617532881,0.012297058391503714,0.04787719753138309,141.66666666666669
