other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Blautia,2.923638240102886e-16,4.934378171165568e-08,2.654163995747715e-10,371.7948717948718
Cellulosilyticum,3.598643581251854e-13,0.00014037499141294495,1.4439469933334224e-06,76.92307692307693
Faecalibacterium,5.353869714051448e-11,3.3211456659858804e-13,1.4569262629816965e-11,456.4102564102564
Turicibacter,1.8349659429060116e-10,2.1474761105419552e-08,1.7663334654663518e-08,197.43589743589746
Gender:M,1.9693565713788664e-08,6.3906772128650305e-09,2.7038150143216895e-10,325.64102564102564
Smoker,2.088365892127411e-08,8.042395149210414e-07,0.0001757140307554249,120.51282051282051
A07EC02_.mesalazine.,3.4440799249205076e-08,0.00013522791827601274,3.3735479494450873e-05,38.46153846153847
Smoking_with_inhalation:Ja,1.0689015394851468e-07,8.50444346090468e-05,4.122409451718118e-05,115.38461538461537
Clostridium_XI,2.782525991562745e-07,7.108037991898923e-09,2.852229044457443e-06,184.6153846153846
Alcohol_.average_past_week.option,3.085212562184073e-07,2.7829851484212407e-06,9.541246238194023e-08,164.1025641025641
Selenomonas,9.099532339162778e-07,0.009726463329302264,0.00012687429105073456,51.28205128205128
Ruminococcus,1.3049509950505268e-06,8.82019701914259e-06,4.837814907370729e-06,364.1025641025641
Clostridium_sensu_stricto,1.8314766894358378e-06,2.972751495248524e-08,2.2203173843326867e-06,207.6923076923077
Hemoglobine,2.5167757545597034e-06,0.00017461074909951968,5.537688920544722e-09,346.1538461538462
Beer_consumption.option,4.149400057485654e-06,8.255199934692078e-07,4.024724277581564e-07,194.87179487179486
Fruits_.days_since_consumed.option,8.16937344635159e-06,5.300712338049885e-05,0.012795499631576548,97.43589743589743
Gemmiger,9.207542617860602e-06,4.154246006418332e-07,3.4449218576283026e-06,230.76923076923075
Roseburia,1.2193443027227176e-05,1.4789768325187838e-08,8.352164430844955e-08,346.1538461538462
Bristol_stool_score,1.6934274387036408e-05,3.177874359426247e-06,1.0550400579690087e-06,323.0769230769231
Cigarettes_.average.day_past_3_months.,2.4095705623914434e-05,2.1533234755799956e-05,3.2662773107380624e-05,107.6923076923077
unclassified_Hyphomicrobiaceae,0.00015273724744368643,0.0001111416947364042,1.6735768815312355e-05,200.0
Mean_corpuscular_hemoglobin_concentration,0.0002607208665113157,6.667863296740875e-05,6.032470472233047e-05,235.8974358974359
N03AE01_.clonazepam.,0.0004909318391686107,0.0007794152572997315,0.002398327585834804,17.94871794871795
Ulcerative_colitis,0.0018884525128065553,3.133416257479946e-05,0.00024090265701017674,56.41025641025641
Neisseria,0.0025318672759342097,0.000413663228854705,0.0006159165553952645,79.48717948717949
R06AX28_.rupatadine.,0.002765653825255551,0.02099688987133932,0.0069920420867418485,102.56410256410255
Soda_.freq._past_week.option,0.003084105852315929,0.002134998457199591,0.00698142715602006,61.53846153846154
Gemella,0.0038106699308576943,0.0007081547788293737,0.002398327585834804,28.205128205128204
Stenotrophomonas,0.003861120909761916,0.03864200469105612,0.0032313133749402186,64.1025641025641
Bacteroides,0.004602749707004534,2.2133898767785994e-06,4.331431256550889e-05,330.7692307692308
Cloacibacterium,0.0074933046086945385,0.009970992305300293,0.024369945263032013,33.33333333333333
N06AX16_.venlafaxine.,0.00848738529052876,0.0009187810541260824,0.00124172688325112,74.35897435897436
J01CR02_.amoxicillin_and_enzyme_inhibitor.,0.009940404278962903,5.731500849661505e-05,0.05477482322492589,100.0
Uric_acid,0.011104199656968142,0.0011499850896327598,0.0016005622418909815,200.0
L04AB_.TNF.alpha_inhibitors.,0.01911575475813867,0.002711814012924047,0.0008417562739101353,64.1025641025641
Holdemania,0.020557094703363248,0.004541279880318142,0.020812026210045288,43.58974358974359
Red_blood_cell_count,0.027529215441728674,0.01083206142668476,5.700235482444942e-05,202.56410256410254
Clostridium_XlVb,0.035149729110260194,2.4864293227752256e-06,2.8158617769865242e-05,233.33333333333334
Gastroentritis_.other_treatment.,0.0472867451426397,0.012769114161276275,0.015725634215745583,153.84615384615387
