n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps5,24,unclassified_Ruminococcaceae,1.1634455822528539e-07,2.978188759660074e-15,0.037242544595979345,1.0024103008883351e-11,0.05640180118754527,15.483870967741936
comps5,24,unclassified_Clostridiales,1.1634455822528539e-07,6.049063075680729e-17,0.02526030163201243,1.3971790571532918e-07,0.19573596645141844,17.91044776119403
comps5,24,unclassified_Clostridiaceae,1.1634455822528539e-07,5.74135846664405e-19,0.8169613217153913,2.665347422225201e-07,0.025890641041620754,21.238938053097346
comps5,24,unclassified_Gracilibacteraceae,1.357353179295e-06,2.897303097118182e-17,0.03343531303382876,3.3810466510075094e-07,0.8598858630120161,21.100917431192663
comps5,24,Methanobrevibacter,1.357353179295e-06,5.907335920497748e-17,0.022176498204672202,4.521830554217493e-06,0.8378859822713626,20.535714285714285
comps5,24,unclassified_Peptococcaceae,1.1634455822528539e-07,1.2527589528889502e-22,0.12282264810139258,6.8227593126114095e-06,0.7472867296527975,28.57142857142857
comps5,24,unclassified_Thermoanaerobacteraceae,1.2927173136142836e-08,3.0056197913060793e-18,0.8473896596867143,0.00017239975193593496,0.045919555358715156,20.168067226890756
comps5,24,unclassified_Natranaerobiaceae,1.357353179295e-06,5.907335920497748e-17,0.01790444006542434,0.001461442399209652,0.2853140570382552,20.535714285714285
comps5,24,unclassified_Incertae,1.357353179295e-06,1.7197086833341056e-18,0.09991345811948427,0.0022266243328098196,0.41730416562740436,23.46938775510204
comps5,24,unclassified_Oxalobacteraceae,8.144119075770022e-07,7.435547007777802e-20,0.13103730594949917,0.002265486936005874,0.4642281148783215,22.641509433962266
comps5,24,unclassified_Coriobacteriaceae,6.004572481944987e-07,3.2049839518748876e-14,0.13428666717341106,0.00647312199546398,0.0994177277757757,20.388349514563107
comps5,24,unclassified_Kofleriaceae,0.0009118853784581427,2.081263351178882e-08,,0.014726954799217587,,26.08695652173913
comps5,24,unclassified_Methanobacteriaceae,0.030730182432968746,4.4216089715079575e-07,,0.01767227638672243,,46.666666666666664
comps5,24,Acetitomaculum,0.0069223419118555635,1.4584566546455458e-11,,0.0265002806024919,,75.0
comps5,24,unclassified_Bacillaceae,1.680532507698578e-07,6.639380744501104e-21,0.22936158549541574,0.03352257119641724,0.18532630419857943,29.11392405063291
comps5,24,Akkermansia,0.00024547747163519045,2.0666202568673454e-15,0.10247043485974937,0.04134756029582172,0.13166801602281422,41.02564102564102
comps5,24,unclassified_Methanomicrobiales,0.001141639628847633,1.8711367877315736e-16,0.14503225357868216,0.04535826354187016,0.4123936504963238,34.61538461538461
comps5,24,Plan_to_change_weight.option,7.708572780875328e-07,1.9693226924208233e-15,,0.048156546905068834,,29.230769230769234
