other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Gender:M,3.2912689139232487e-29,3.3517973861574875e-20,1.0482176310119533e-17,162.82051282051282
Height,4.343477169840659e-18,1.554486587209283e-14,5.4904090231295125e-12,91.02564102564102
Dialister,2.3086913191150672e-14,4.49313771197647e-09,6.036121052753584e-10,43.58974358974359
Hemoglobine,4.944647317412961e-13,4.017932690106229e-13,3.6825898701464255e-13,173.0769230769231
unclassified_Lactobacillaceae,1.4293101385351854e-12,2.420108183247827e-08,2.3852797074499555e-05,16.666666666666664
Hip_circumference,1.6269362798828806e-11,1.7811154250741437e-10,5.451191913989907e-08,53.84615384615385
Creatinine,4.550423241110926e-11,2.160359020994892e-08,6.312498294776544e-09,75.64102564102564
Actinobacillus,9.407260160750646e-11,5.17006426243646e-05,5.736140423122335e-08,39.743589743589745
L04AB_.TNF.alpha_inhibitors.,9.666050387038001e-11,0.0003200876420358011,3.8632442931086296e-08,32.05128205128205
unclassified_Anaerolineaceae,1.461361335581228e-10,0.013419231920434406,0.00011240282675592358,16.666666666666664
Rothia,2.0853620247722896e-10,6.22412240753226e-09,2.5978582317646265e-08,41.02564102564102
Body_mass_index,2.1549555891401052e-10,1.349991253913941e-10,8.884051556833569e-10,74.35897435897436
Triglycerides,6.089520929543176e-10,5.453818311659937e-08,2.1628265816032206e-07,34.61538461538461
Work_days_per_week,1.379432000865111e-09,6.490116904849266e-08,4.6557506627881166e-10,79.48717948717949
Prevotella,1.9559775086047018e-09,1.3651397390274306e-19,5.3726780938963245e-12,123.07692307692308
Lachnobacterium,6.7940107975196225e-09,0.004021949196648756,7.79286891582657e-06,16.666666666666664
R06AX28_.rupatadine.,3.391133643503981e-08,0.009324570195557285,1.590962467480822e-05,51.28205128205128
Beer_consumption.option,5.1098258406236884e-08,1.0153699166812528e-07,1.7223376657006028e-08,97.43589743589743
unclassified_Nakamurellaceae,6.571434826886822e-08,0.0160887089821663,0.0007999904506083157,10.256410256410255
Leuconostoc,7.037707303180334e-08,0.034091195892934065,0.0014506514236239843,12.82051282051282
Working_start_age:nan,1.2016924482047622e-07,4.045339341680926e-05,2.2999247752496468e-05,26.923076923076923
Scardovia,2.6288788077527754e-07,7.790755888228547e-05,2.2999247752496468e-05,28.205128205128204
Bristol_stool_score,4.1244050522124303e-07,1.8741490471269598e-13,9.999816149543247e-10,161.53846153846155
Alanine_transaminase_.ALT.,5.414492075674115e-07,0.00379974554470792,0.0010057806377885838,8.974358974358974
Red_blood_cell_count,6.270996899984736e-07,5.451769152489881e-09,1.3690037696277825e-09,101.28205128205127
unclassified_Desulfarculaceae,6.493402911206771e-07,1.5605861351164633e-05,9.599608862481818e-05,25.64102564102564
Carnobacterium,1.0562610112704323e-06,0.0019965263551515212,1.3568417642598843e-06,30.76923076923077
Clostridium_sensu_stricto,1.1174364683793545e-06,4.8829429120553446e-11,3.1848336008939145e-07,103.84615384615385
unclassified_Thermaceae,3.8021084221154724e-06,1.505397806150338e-05,0.0002828608448381606,20.51282051282051
Roseburia,3.8089662682367825e-06,5.486507723240627e-12,2.733608119451233e-10,173.0769230769231
Mean_corpuscular_hemoglobin_concentration,5.681743142646976e-06,1.0335758707897363e-06,3.158465765785505e-08,117.94871794871796
Haemophilus,6.076261532863991e-06,3.4234585654130217e-07,0.0001506102080048272,34.61538461538461
Turicibacter,6.3238979840151865e-06,1.281069089960329e-10,8.138754566543815e-07,98.71794871794873
Working_hours_.hours.week.,9.967139216206071e-06,9.96713676473618e-07,3.862263854269466e-08,46.15384615384615
Sick_leave_.freq._past_year.:nan,1.1356449506117586e-05,3.1138036980616735e-07,2.3999571667667287e-07,57.692307692307686
Fructobacillus,1.2522780185713846e-05,0.010132797249765946,0.0010108783861116463,26.923076923076923
Creatine_kinase,1.3287397829088488e-05,1.9217390496128775e-09,9.63950456568839e-07,52.56410256410257
Cellulosilyticum,2.594781246823673e-05,0.0004756565356273797,0.0028207043314181428,38.46153846153847
Clostridium_XI,4.4320731382154746e-05,2.738983923090033e-10,1.3838151443925848e-05,92.3076923076923
Smoking_with_inhalation:Ja,5.36078212027253e-05,2.2459470469410927e-06,0.0007287631442397132,57.692307692307686
Streptococcus,7.35877507801279e-05,1.1895648694296695e-06,0.0002928549047512956,58.97435897435898
Stenotrophomonas,0.00010086078558390783,0.042686835467080214,0.0002424962651862819,32.05128205128205
Bloating_.days_past_week.option,0.00010086078558390783,2.3507321682248116e-07,0.0003504179335054313,32.05128205128205
Constipation_.days_past_week.option,0.0001560599893625431,3.508033631546176e-05,2.223378536869237e-05,28.205128205128204
Gamma.glutamyltransferase,0.0002354350398215861,0.009926420881366032,0.00013911203583963277,34.61538461538461
Megamonas,0.00023559472668516443,0.006786079048166206,1.3436816803057101e-05,24.358974358974358
L04AX01_.azathioprine.,0.0003026622835805564,0.0008418551364883176,2.563619279806621e-05,41.02564102564102
Lactobacillus,0.00042490086564908353,1.212237397510503e-05,9.94336939284422e-05,42.30769230769231
Paraeggerthella,0.000474112175268611,0.00012072427297988364,0.0008753250242933601,16.666666666666664
Cloacibacterium,0.000474112175268611,0.009298193827730405,0.0005268044564353851,16.666666666666664
Staphylococcus,0.0005981366238576033,6.537983079290365e-05,0.0005973708991581953,26.923076923076923
unclassified_Euzebyaceae,0.0009731500285077506,0.00010292637181170851,0.0003504179335054313,39.743589743589745
Abiotrophia,0.0009731500285077506,1.0888604397475085e-05,0.00016170171117923807,39.743589743589745
Succinivibrio,0.0009731500285077506,0.004704339654113538,0.00016112589972750498,39.743589743589745
unclassified_Synergistaceae,0.0011685743818698583,0.0002876668573753664,0.047927054356869905,14.102564102564102
Shift_work:nan,0.0014215243716112305,0.013775448067398265,0.00014393743298125495,19.230769230769234
Catenibacterium,0.0017336494909618485,2.349869089858859e-07,2.555769639288344e-05,74.35897435897436
Soda_.freq._past_week.option,0.0018964829696452227,0.0013552443716301076,0.001133615818246883,30.76923076923077
Dorea,0.0022367621714368714,1.0514876270512342e-06,2.9325371889287416e-08,103.84615384615385
Cetobacterium,0.0028862480935169356,0.0022597141992053314,0.004781359180001815,11.538461538461538
unclassified_Burkholderiales,0.003616513250235798,0.0012145598838598825,0.0035980867228366277,33.33333333333333
unclassified_Prevotellaceae,0.0037704683885006448,4.0679247347379997e-08,8.802106426517899e-06,76.92307692307693
Ulcerative_colitis,0.0043463496462221385,0.0001107203990484603,0.0006877365369880436,28.205128205128204
unclassified_Desulfonatronaceae,0.005179106121451724,0.022578371280349816,0.015201670328466567,12.82051282051282
Shift_work:True,0.005972090272399279,0.00017095239364035565,2.815301076234578e-07,73.07692307692307
Spirits_consumption.option,0.011104199656964886,0.0016005622418909815,0.0011499850896327598,50.0
Clostridium_XlVa,0.013280695259410788,0.00042331315497424424,0.0014408393849100476,39.743589743589745
Bread_type_preference.option,0.013968213008999622,0.011246438134475678,3.6625813020344836e-07,74.35897435897436
unclassified_Kiloniellaceae,0.01616069852406732,0.001448863542385345,0.047927054356869905,21.794871794871796
