n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps0,12,Bacteroides,2.3025046152315447e-14,3.169800916677465e-08,,0.00025529355075625855,,9.30232558139535
comps0,12,Clostridium_XlVb,2.250491197148787e-06,0.0013135138478454261,0.27523352407483426,0.026272994049350306,0.885225837422319,7.6923076923076925
comps1,25,Faecalibacterium,1.26577701730208e-08,5.016043030699709e-07,0.3760200115733052,0.003752162416438082,0.20347307386934688,11.235955056179774
comps1,25,Shift_work:nan,0.03144709236994732,0.00014249869742124957,0.8464505968765906,0.004310358499535043,0.0367138563627041,33.33333333333333
comps1,25,Coprococcus,1.4852909314237325e-05,0.00018153768974293587,0.029272509186304533,0.01583719905403538,0.3978449025303924,10.48951048951049
comps1,25,Clostridium_XlVa,1.1202693047184664e-05,2.249820421481256e-06,,0.045296236000322766,,29.03225806451613
comps3,32,Prevotella,4.2193420666660865e-21,3.38092491786645e-27,0.09289194088370532,0.00035034307152121227,0.08815793541979457,33.33333333333333
comps3,32,Roseburia,0.002759397898950814,5.905976957337945e-08,0.2965666885663495,0.0008806541994645185,0.004506246773085751,15.555555555555555
comps3,32,Bloating_.days_past_week.option,1.6586936554513287e-05,1.1771957003842896e-08,,0.003114307531555083,,44.0
comps3,32,Hip_circumference,3.957414197228426e-09,2.8568343673487926e-19,0.6625205835400574,0.035816257084147915,0.15051876309521792,50.0
comps3,32,unclassified_Euzebyaceae,0.005845191699517782,1.1394751386125125e-05,0.15729920705028502,0.042658379437308186,0.3916879003730329,29.03225806451613
