other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Plan_to_change_weight.option,3.901608788368904e-42,1.4541693754409455e-20,1.4067634738552413e-17,91.54929577464789
Akkermansia,3.6870942885443954e-30,7.891515190073106e-21,1.0398162214820664e-12,54.929577464788736
unclassified_Thiotrichaceae,8.008852225011621e-25,1.0399593634733326e-18,2.819433163757004e-14,90.14084507042254
unclassified_Methanomicrobiales,4.250914003515759e-24,6.502934954601408e-06,2.0513975795649547e-12,73.23943661971832
Barnesiella,8.32553181199367e-24,4.5652499703239206e-18,2.593457608787058e-12,78.87323943661971
unclassified_Puniceicoccaceae,2.37454666357595e-20,5.812025770804042e-17,1.2557269765447707e-12,71.83098591549296
Methanosphaera,2.7134721100311576e-20,5.102459941288686e-13,7.287916982674735e-09,28.169014084507044
Cerasicoccus,6.106903102724784e-20,2.0207044398471492e-19,7.212994078285805e-12,94.36619718309859
unclassified_Thermoactinomycetaceae,2.1435766928607825e-19,4.949386192546714e-21,6.789880311116816e-14,102.8169014084507
unclassified_Chrysiogenaceae,2.990037536628553e-19,0.019098212811892726,2.680591812628871e-07,26.76056338028169
Gallicola,2.990037536628553e-19,0.019098212811892726,2.680591812628871e-07,26.76056338028169
unclassified_Desulfovibrionaceae,4.12214433719071e-19,1.4613306692783186e-10,2.5728635387690197e-11,57.74647887323944
unclassified_Eubacteriaceae,7.419379539254949e-19,5.237867751899377e-21,6.789880311116816e-14,105.63380281690141
unclassified_Desulfomicrobiaceae,9.384666830759077e-19,5.3178015384470834e-15,1.0398162214820664e-12,88.73239436619718
unclassified_Methanocellaceae,2.2569357859089767e-18,0.018883533704456668,8.44675273232437e-09,43.66197183098591
Filifactor,3.238267067971562e-18,0.015955630851333502,6.904051132814276e-08,25.352112676056336
unclassified_Chitinophagaceae,1.3269789738004139e-17,8.869222711841411e-17,3.829405513180011e-13,94.36619718309859
unclassified_Oxalobacteraceae,2.763684472082495e-17,2.772325296525565e-21,1.0358744272010448e-14,149.29577464788733
unclassified_Parachlamydiaceae,3.448154748303799e-17,0.01306635873765806,2.1132930961687356e-07,23.943661971830984
unclassified_Heliobacteriaceae,9.068288622681628e-17,3.5365805689577457e-16,2.5663522721421076e-13,111.26760563380283
unclassified_Peptococcaceae,1.1027216102725499e-16,2.1913434662670632e-19,6.789880311116816e-14,118.30985915492957
unclassified_Verrucomicrobiaceae,1.2946126587717616e-15,2.6875528977072883e-18,1.9719102290467176e-11,81.69014084507043
unclassified_Dermatophilaceae,3.720782879572957e-15,0.008518933612016904,1.4828090199966016e-06,21.12676056338028
Cloacibacillus,4.896131930951884e-15,2.7554903472876416e-07,4.528953466838687e-06,26.76056338028169
unclassified_Leptotrichiaceae,1.2910713380003232e-14,0.0252394568388544,1.4701591200545068e-06,38.028169014084504
Breakfast_.N_past_week.,2.958749799727572e-14,1.0065875656692241e-10,6.833981529502176e-11,77.46478873239437
unclassified_Incertae,6.179584812446023e-14,3.9072750136587424e-21,6.789880311116816e-14,138.0281690140845
Shift_work:False,8.0450975590668e-14,5.3036341887691494e-08,5.464972243883137e-12,104.22535211267605
unclassified_Beutenbergiaceae,1.7537590766468987e-13,2.3787164083144618e-05,2.0895177534148826e-08,54.929577464788736
unclassified_Bacillales,3.1043192960373703e-13,6.19073820464087e-08,4.485547626617992e-11,83.09859154929578
Hafnia,3.766499213680386e-13,0.018423088224439218,1.128334061972375e-05,18.30985915492958
Smoking_with_inhalation:Neen,5.962766285701479e-13,2.3797328822994066e-09,1.2133906464229225e-11,78.87323943661971
unclassified_Clostridiales,8.791815664683641e-13,1.3427865709577434e-22,1.0358744272010448e-14,188.73239436619718
Hydrogenoanaerobacterium,1.1995650858990678e-12,1.1415754735593036e-06,6.094383402300234e-08,28.169014084507044
unclassified_Gracilibacteraceae,3.65127933194501e-12,1.1293264026262296e-19,6.789880311116816e-14,153.52112676056336
Acetitomaculum,3.702660243957518e-12,0.00044378307265250896,7.606224020691563e-06,16.901408450704224
Enterorhabdus,4.303532192284454e-12,5.4927329232062744e-12,4.252203870496114e-13,123.94366197183098
unclassified_Opitutaceae,6.212245970806195e-12,0.0004267911676677761,1.515064022481215e-06,33.80281690140845
unclassified_Bacillaceae,6.467577814796847e-12,6.284970815886209e-10,1.2217320195555468e-10,111.26760563380283
unclassified_Natranaerobiaceae,9.975010285695691e-12,4.0433382663712746e-20,6.789880311116816e-14,157.74647887323943
Methanobrevibacter,9.975010285695691e-12,5.339937578593022e-19,6.789880311116816e-14,157.74647887323943
Food_allergy,1.1370394226686171e-11,2.3431867249154796e-07,5.4569524044438105e-09,63.38028169014085
Thermogymnomonas,1.417603333712006e-11,2.4772870829678553e-05,7.718518873490225e-09,43.66197183098591
Rikenella,3.1834996644182396e-11,0.00342862416204791,4.11579011089352e-09,45.07042253521127
N06AX16_.venlafaxine.,4.0632950128447665e-11,0.010625599629969777,1.800374737655412e-08,40.845070422535215
unclassified_Thiohalobacter,4.3614784115037585e-11,9.76708891255767e-06,2.503106489039488e-06,18.30985915492958
Soy_products_.average_past_week.option,1.2459400005039297e-10,1.7437790003907606e-06,1.3485746119734681e-05,33.80281690140845
