other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
Succinivibrio,8.517489712175924e-13,0.017453587030856456,1.0663270936755362e-07,50.0
Working_hours_.hours.week.,2.5052820627191362e-12,6.461992765600793e-06,1.5568219262355346e-05,58.06451612903226
Rothia,3.1292426520016534e-11,1.9438574751647164e-09,2.5494370580522296e-05,51.61290322580645
Prevotella,3.223412478402037e-11,7.77726605828818e-17,2.6972815489739636e-09,154.83870967741936
Dialister,1.2540375671967068e-10,4.444904555744643e-10,8.655578852736263e-06,54.83870967741935
Gender:M,1.3964910280392695e-10,6.073951328851117e-11,5.052255438251824e-12,204.83870967741936
Body_mass_index,3.129202580488217e-10,2.3814735816213334e-09,2.5807296792384346e-06,93.54838709677419
unclassified_Lactobacillaceae,4.693493136685448e-10,5.494650759529668e-07,0.0005121484223570081,20.967741935483872
Creatinine,4.772375921882187e-10,3.96524223021745e-10,2.784324072056885e-07,95.16129032258065
Uric_acid,1.3794320008653667e-09,4.6557506627881166e-10,6.490116904849266e-08,125.80645161290323
Sick_leave_.freq._past_year.:nan,5.073326478796227e-09,1.1919633536594754e-08,2.6285068419407803e-08,72.58064516129032
Bristol_stool_score,9.131652256671901e-08,3.068101801693375e-10,1.9820704874616728e-08,203.2258064516129
Actinobacillus,3.023836340695166e-07,9.632190581520579e-05,1.0266827782118673e-06,50.0
unclassified_Anaerolineaceae,4.4513003498338046e-07,0.004205684846040507,0.0017054281571975156,20.967741935483872
L04AX01_.azathioprine.,4.950400976179597e-07,0.03517016095228458,0.004844093733399668,51.61290322580645
L04AB_.TNF.alpha_inhibitors.,1.0976747630774554e-06,1.331193745021897e-05,0.0005778271852666278,40.32258064516129
Gamma.glutamyltransferase,3.1010772531944663e-06,0.00028693182699327376,0.0008680613378196228,43.54838709677419
Hemoglobine,3.1574356570075976e-06,1.1471914256533038e-09,3.6204288734325065e-09,217.74193548387095
Lactobacillus,5.896407201798444e-06,4.281161198450994e-05,7.298963067986546e-05,53.2258064516129
Carnobacterium,5.931753567737822e-06,8.157426471178682e-06,5.3424336762062e-06,38.70967741935484
Red_blood_cell_count,8.145022964178916e-06,3.076544009901349e-06,8.203331480155526e-08,127.41935483870968
Age,8.393913884763466e-06,5.0713190284785824e-08,1.8126026961136719e-06,88.70967741935483
Hip_circumference,2.4211653506983766e-05,1.085967725912288e-06,0.0002782024356308238,67.74193548387096
Triglycerides,0.00015773389195031614,9.1625472349007e-06,0.0295501097635422,43.54838709677419
Streptococcus,0.0003499200484266006,1.3291770177459928e-06,0.0002796304775886847,74.19354838709677
Stenotrophomonas,0.00045403791659865854,0.0006949480177598958,7.430517972981831e-05,40.32258064516129
unclassified_Thermaceae,0.0005324708294156799,5.9796730400761755e-06,0.05109650485337695,25.806451612903224
Dorea,0.0006727318184550661,4.0947305130610545e-08,1.8360431812336757e-07,130.64516129032256
unclassified_Cyclobacteriaceae,0.001247667240524995,0.02806989669119032,0.0013171723921718281,29.03225806451613
unclassified_Desulfonatronaceae,0.001796807403011527,0.02242327866160999,0.0006761314506487425,16.129032258064516
