other feature,fisher-exact test pvalue,ranksum in co-enriched nodes,ranksum in others nodes,coverage/%
unclassified_Clostridiaceae,3.693865064336429e-26,9.105502252883027e-30,3.392856802137025e-13,121.50537634408603
Gender:F,1.3650957219881168e-25,1.1257376794392711e-17,1.9301572017926619e-16,151.61290322580646
Methanobrevibacter,4.271536444713693e-23,8.982312707240914e-26,7.202597272508296e-12,120.43010752688173
unclassified_Gracilibacteraceae,8.037768446354661e-23,1.3869093359094144e-27,1.0085242715267533e-12,117.20430107526883
unclassified_Rickettsiaceae,8.095291617904792e-23,2.427993196857655e-24,8.772727537541521e-12,96.7741935483871
unclassified_Thermoactinomycetaceae,1.2742836253412915e-21,6.872467386318239e-24,9.449276250704688e-11,78.49462365591397
unclassified_Clostridiales,6.537171817531533e-21,3.884157800989201e-26,3.392856802137025e-13,144.08602150537635
Alistipes,2.9346392971618313e-20,4.157676049430745e-20,1.8225051995073602e-13,137.63440860215056
unclassified_Natranaerobiaceae,5.405764364842094e-20,7.041555563304484e-23,3.8450882488297775e-13,120.43010752688173
unclassified_Porphyromonadaceae,9.550041356335739e-19,8.602395733881999e-20,8.680653969241932e-12,117.20430107526883
Porphyromonas,4.162986287457293e-18,3.5598511429215936e-12,8.45340137775734e-08,40.86021505376344
unclassified_Eubacteriaceae,1.0867453668424936e-17,2.2832431537165377e-20,1.0671181174464297e-10,80.64516129032258
unclassified_Incertae,1.605577987899847e-17,1.0014306204683437e-23,3.539201803807472e-11,105.3763440860215
Bacillus,3.162927554273387e-17,9.34461513516878e-06,2.4637104718598026e-06,23.655913978494624
unclassified_Ruminococcaceae,7.783951058853675e-17,6.399006182802006e-28,3.392856802137025e-13,166.66666666666669
Sporobacter,8.930010981193907e-17,2.6154180403169626e-17,1.0647253133179057e-12,126.88172043010752
Breakfast_.N_past_week.,1.0024184464848367e-16,1.0175138809077557e-08,4.865249957520224e-09,59.13978494623656
Chocolate_type_preference.option,3.1549998156982103e-16,5.565445833380158e-06,8.29252831411119e-09,36.55913978494624
unclassified_Veillonellaceae,3.644034660337523e-16,4.4351470347046855e-24,4.1050267586623925e-13,160.21505376344086
unclassified_Syntrophorhabdaceae,5.454470573930611e-16,1.076410090286303e-13,1.1416357015383883e-07,34.40860215053764
unclassified_Desulfurellaceae,7.630773306369772e-14,0.009440925726811066,3.5308516912295126e-06,41.935483870967744
Pseudoflavonifractor,1.1879132178030973e-13,8.881867278732144e-12,5.180108581036593e-06,36.55913978494624
Victivallis,1.3022841328347328e-13,3.3501882000756596e-17,7.682014581698267e-09,69.89247311827957
unclassified_Peptococcaceae,1.7076981736839793e-13,1.3242380078973264e-19,2.9142902001183467e-08,90.32258064516128
Bilophila,2.6787039045404854e-13,4.754348175223304e-13,3.5715409341239073e-11,87.09677419354838
unclassified_Victivallaceae,2.976241849740523e-13,5.387902180208518e-17,4.2294765560441036e-09,118.27956989247312
unclassified_Thermoanaerobacteraceae,3.133136536701549e-13,2.4804004951971848e-20,6.491351533584845e-09,127.95698924731182
Arcanobacterium,6.383326618305734e-13,0.00014507219059383365,6.310666401604743e-05,18.27956989247312
unclassified_Heliobacteriaceae,6.951460567748435e-13,6.383373148580853e-15,1.6456154928588875e-07,84.94623655913979
unclassified_Cryomorphaceae,1.8621003536876957e-12,2.0344631922474315e-12,3.4388241340465534e-09,100.0
Shift_work:False,2.701656845344732e-12,1.1603808757965606e-08,3.6792071659614716e-09,79.56989247311827
Geobacillus,3.706738042267653e-12,0.0011204982114481118,9.836912817738711e-06,34.40860215053764
unclassified_Hydrogenophilaceae,4.439601368520912e-12,0.00010088800505507771,0.0007187601954242317,17.20430107526882
Clostridium_IV,7.474155719196669e-12,2.557607352924066e-14,2.8879227229401285e-09,98.9247311827957
unclassified_Pseudomonadales,1.1438860690687463e-11,0.014547058278943745,8.299863244346044e-06,38.70967741935484
unclassified_Coriobacteriaceae,2.115147996751995e-11,1.423645163325258e-13,2.9440901106291744e-09,110.75268817204301
Anaerosporobacter,2.47563283316333e-11,3.100414332637973e-07,2.3179367363202866e-06,72.04301075268818
G03CA04_CC06_.estrogens.,1.1633484528631749e-10,5.899920641490758e-06,0.00018148991416782202,45.16129032258064
unclassified_Methermicoccaceae,2.0950550186275986e-10,0.019098212811892726,5.0953159002944734e-05,30.107526881720432
Papillibacter,2.3175977882002894e-10,3.509186706952414e-05,6.160446506118298e-06,46.236559139784944
unclassified_Thiotrichaceae,2.434802293319662e-10,1.833886177573256e-15,7.104486825752687e-07,68.81720430107528
unclassified_Acetobacteraceae,6.499840622071021e-10,2.0649813210252768e-11,9.903806426883912e-08,92.47311827956989
unclassified_Bacillales,8.280228921265517e-10,5.8198739491191715e-09,8.594903130767609e-07,63.44086021505376
Clostridium_III,8.536337442876296e-10,0.007346863300089264,0.0001724032778122866,11.827956989247312
Slackia,1.0413995664996797e-09,3.799850642527391e-11,2.207739059823195e-09,72.04301075268818
unclassified_Leptotrichiaceae,1.0760605592099589e-09,0.01535382620535765,5.417580865335797e-05,29.03225806451613
unclassified_Cytophagaceae,2.5810818422851574e-09,6.318995466889793e-09,8.246522795920202e-08,74.19354838709677
unclassified_Haloplasmataceae,4.1178253141817665e-09,3.882346484210179e-07,0.000354889271698144,19.35483870967742
unclassified_Oleiphilaceae,5.181689908992906e-09,4.884006440258022e-08,8.666947717685428e-05,40.86021505376344
