n_comps,comps_size,other feature,"Fisher test pvalue(co-enriched,enriched)","Fisher test pvalue(co-enriched,others)",coenriched-enriched pvalue,coenriched-others pvalue,enriched-others pvalue,coverage/%
comps1,18,Parabacteroides,2.2459427661289545e-11,1.0362063305076759e-11,0.7508235188990009,0.0010566462060498973,0.14936597334190868,24.561403508771928
comps1,18,Anaerotruncus,4.2966791762795923e-07,3.714901793400727e-08,,0.0026218217690905958,,40.0
comps1,18,Bilophila,4.756845684715484e-06,1.4398757436012242e-14,0.01412980238974589,0.011071659775376677,0.8190648974453345,19.753086419753085
comps1,18,Granulicatella,5.073565927372288e-05,6.6730998239810865e-06,1.0,0.020280946983373408,0.5255944462504154,20.51282051282051
comps1,18,Anaerofustis,5.415982154974267e-09,9.325324784164668e-13,,0.026179598354081145,,62.5
comps1,18,Sutterella,0.0030741866384308677,0.0017881240687611754,0.13559300126630222,0.04804907117793019,0.6199520549547768,13.043478260869565
comps2,59,unclassified_Ruminococcaceae,3.539486374125547e-26,1.031078376485478e-37,,0.0007767599926764628,,38.064516129032256
comps2,59,unclassified_Incertae,1.3772360099868217e-15,1.1610997894144422e-29,,0.005428289435997734,,47.95918367346938
comps2,59,unclassified_Victivallaceae,1.743095169830416e-14,6.119010340817855e-24,,0.0065771970594468085,,40.909090909090914
comps2,59,unclassified_Porphyromonadaceae,4.1776623154301296e-18,4.6044729843364996e-33,,0.008859874091453862,,46.788990825688074
comps2,59,unclassified_Heliobacteriaceae,8.119243780402003e-11,7.314496692758948e-21,,0.008965283014234084,,46.835443037974684
comps2,59,Allobaculum,0.045686275868201925,0.0020467419532647526,0.2344826070931848,0.009604931201300234,0.64453469992493,23.214285714285715
comps2,59,unclassified_Rhodocyclaceae,0.0015907183216715489,0.0003722863208018799,,0.011165494865185508,,26.923076923076923
comps2,59,N06AX16_.venlafaxine.,0.04495412399189751,0.024873795740647284,,0.012515318690073973,,24.137931034482758
comps2,59,unclassified_Planococcaceae,7.052984294484114e-06,3.4316299507483607e-09,,0.020961846273040246,,35.9375
comps2,59,unclassified_Clostridiaceae,3.539486374125547e-26,2.0635908873269174e-48,,0.02670200886984344,,52.21238938053098
comps2,59,unclassified_Thermoplasmatales,1.7111277968796275e-05,6.776592036208807e-06,,0.026858619801146098,,26.923076923076923
comps2,59,unclassified_Coriobacteriaceae,8.966401504700578e-08,1.6859766988402243e-17,0.018625487981837226,0.03170063602792498,0.08550702273296294,36.89320388349515
comps2,59,unclassified_Cryomorphaceae,4.443644760203919e-12,2.825891209401724e-21,,0.03316290403706854,,43.01075268817204
comps2,59,Helicobacter,0.003267741984510629,1.1659276608178547e-06,,0.033894853524689246,,48.0
comps2,59,unclassified_Prolixibacter,0.0007603318760711835,1.221532277666108e-05,,0.034108132481669114,,33.33333333333333
comps2,59,Chocolate_type_preference.option,5.65912648012478e-07,1.2343463173899271e-21,,0.042357062026854894,,76.47058823529412
comps2,59,unclassified_Bifidobacteriaceae,4.770190894118563e-07,1.312996652430672e-11,,0.04282560923089135,,38.028169014084504
